Year,Internet Users,Penetration,"World
Population","Non-Users
(Internetless)","1Y User
Change","1Y User 
Change","World Pop.
Change"
2016,3424971237,46.10%,7432663275,4007692038,7.50%,238975082,1.13%
2015,3185996155,43.40%,7349472099,4163475944,7.80%,229610586,1.15%
2014,2956385569,40.70%,7265785946,4309400377,8.40%,227957462,1.17%
2013,2728428107,38%,7181715139,4453287032,9.40%,233691859,1.19%
2012,2494736248,35.10%,7097500453,4602764205,11.80%,262778889,1.20%
2011,2231957359,31.80%,7013427052,4781469693,10.30%,208754385,1.21%
2010,2023202974,29.20%,6929725043,4906522069,14.50%,256799160,1.22%
2009,1766403814,25.80%,6846479521,5080075707,12.10%,191336294,1.22%
2008,1575067520,23.30%,6763732879,5188665359,14.70%,201840532,1.23%
2007,1373226988,20.60%,6681607320,5308380332,18.10%,210310170,1.23%
2006,1162916818,17.60%,6600220247,5437303429,12.90%,132815529,1.24%
2005,1030101289,15.80%,6519635850,5489534561,12.80%,116773518,1.24%
2004,913327771,14.20%,6439842408,5526514637,16.90%,131891788,1.24%
2003,781435983,12.30%,6360764684,5579328701,17.50%,116370969,1.25%
2002,665065014,10.60%,6282301767,5617236753,32.40%,162772769,1.26%
2001,502292245,8.10%,6204310739,5702018494,21.10%,87497288,1.27%
2000,414794957,6.80%,6126622121,5711827164,47.30%,133257305,1.28%
