date,type,tournament_name,name,Opp,next_match,betting_next_match,value,betsize,result,profit_loss,cumulative,bet_no,,
15/03/2016,Challenger,KazanChallenger,Matteo Viola,,2.849,4.4,1.544401544,50,L,-50,-50,1,,
15/03/2016,Challenger,GuangzhouChallenger,Luke Saville,,1.905,2.722,1.428871391,50,L,-50,-100,2,,
15/03/2016,Challenger,GuadalajaraChallenger,Hans Hach Verdugo,,2.028,4.3,2.120315582,50,L,-50,-150,3,,
15/03/2016,Challenger,GuadalajaraChallenger,Matteo Donati,,1.101,1.417,1.287011807,50,L,-50,-200,4,,
15/03/2016,Challenger,DrummondvilleChallenger,Winston Lin,,1.605,3.75,2.336448598,50,L,-50,-250,5,,
15/03/2016,Challenger,DrummondvilleChallenger,Denis Shapovalov,,1.675,2.75,1.641791045,50,W,87.5,-162.5,6,,
15/03/2016,Challenger,DrummondvilleChallenger,Benjamin Mitchell,,1.307,2.024,1.548584545,50,L,-50,-212.5,7,Result so far:,-575.9
15/03/2016,Challenger,DrummondvilleChallenger,Nicolas Jarry,,1.515,2.1,1.386138614,50,W,55,-157.5,8,,
15/03/2016,Challenger,DrummondvilleChallenger,Frank Dancevic,,2.092,2.769,1.323613767,50,W,88.45,-69.05,9,,
15/03/2016,Challenger,DrummondvilleChallenger,Edward Corrie,,1.115,1.467,1.315695067,50,W,23.35,-45.7,10,,
15/03/2016,Challenger,DrummondvilleChallenger,Philip Bester,,2.247,2.833,1.260792167,50,W,91.65,45.95,11,,
15/03/2016,World Tour,ATPIndianWells,Steve Johnson,,3.413,6,1.757984178,50,L,-50,-4.05,12,,
15/03/2016,World Tour,ATPIndianWells,Jack Sock,,1.621,2.412,1.487970389,50,L,-50,-54.05,13,,
15/03/2016,World Tour,ATPIndianWells,Feliciano Lopez,,1.704,2.5,1.46713615,50,W,75,20.95,14,,
15/03/2016,World Tour,ATPIndianWells,Adrian Mannarino,,3.448,5,1.450116009,50,L,-50,-29.05,15,,
16/03/2016,Challenger,IrvingChallenger,Jakob Sude,,6.711,13,1.937118164,50,L,-50,-79.05,16,,
16/03/2016,Challenger,IrvingChallenger,Benjamin Becker,,1.408,1.909,1.355823864,50,L,-50,-129.05,17,,
16/03/2016,Challenger,IrvingChallenger,Michael Berrer,,1.534,2,1.303780965,50,L,-50,-179.05,18,,
16/03/2016,Challenger,IrvingChallenger,Philipp Petzschner,,3.436,4.333,1.261059371,50,L,-50,-229.05,19,,
16/03/2016,Challenger,DrummondvilleChallenger,Frank Dancevic,,2.092,2.769,1.323613767,50,W,88.45,-140.6,20,,
16/03/2016,World Tour,ATPIndianWells,Tomas Berdych,,1.818,2.8,1.540154015,50,L,-50,-190.6,21,,
17/03/2016,Challenger,KazanChallenger,Norbert Gombos,Alexandre Sidorenko,1.202,1.769,1.47171381,50,L,-50,-240.6,22,,
17/03/2016,Challenger,IrvingChallenger,Giovanni Lapentti,Francis Tiafoe,2.183,3.8,1.740723775,50,L,-50,-290.6,23,,
17/03/2016,Challenger,IrvingChallenger,Aljaz Bedene,Dmitry Tursunov,1.244,1.8,1.446945338,50,W,40,-250.6,24,,
17/03/2016,Challenger,IrvingChallenger,Michael Venus,Jared Donaldson,3.663,5.2,1.41960142,50,L,-50,-300.6,25,,
17/03/2016,Challenger,IrvingChallenger,Evgeny Donskoy,Andrey Rublev,1.524,2.154,1.413385827,50,L,-50,-350.6,26,,
17/03/2016,World Tour,ATPIndianWells,Gael Monfils,Milos Raonic,2.203,3.5,1.588742624,50,L,-50,-400.6,27,,
18/03/2016,Challenger,KazanChallenger,Aslan Karatsev,Karen Khachanov,2.033,3.25,1.598622725,50,W,112.5,-288.1,28,,
18/03/2016,Challenger,IrvingChallenger,Jared Donaldson,Andrey Rublev,1.468,2.278,1.551771117,50,W,63.9,-224.2,29,,
18/03/2016,Challenger,IrvingChallenger,Aljaz Bedene,Francis Tiafoe,1.339,1.769,1.321135176,50,W,38.45,-185.75,30,,
18/03/2016,Challenger,GuadalajaraChallenger,Dennis Novikov,Stephane Robert,1.529,2.1,1.373446697,50,L,-50,-235.75,31,,
18/03/2016,Challenger,GuadalajaraChallenger,Alejandro Gonzalez,Alexander Sarkissian,1.357,1.727,1.27266028,50,L,-50,-285.75,32,,
18/03/2016,Challenger,DrummondvilleChallenger,Denis Shapovalov,Renzo Olivo,2.092,2.75,1.314531549,50,W,87.5,-198.25,33,,
20/03/2016,Challenger,KazanChallenger,Aslan Karatsev,Tobias Kamke,1.883,2.647,1.405735528,50,L,-50,-248.25,34,,
20/03/2016,Challenger,GuangzhouChallenger,Nikoloz Basilashvili,Franco Skugor,1.316,2.154,1.636778116,50,W,57.7,-190.55,35,,
20/03/2016,Challenger,GuangzhouChallenger,Marsel Ilhan,Lukas Lacko,2.07,3.1,1.497584541,50,L,-50,-240.55,36,,
21/03/2016,Challenger,ShenzhenChallenger,Xi Qi,Peter Gojowczyk,4.525,21,4.640883978,50,L,-50,-290.55,37,,
21/03/2016,Challenger,ShenzhenChallenger,Fajing Sun,Go Soeda,4.082,17,4.164625184,50,L,-50,-340.55,38,,
21/03/2016,Challenger,ShenzhenChallenger,Saketh Myneni,Lukas Lacko,2.174,2.8,1.287948482,50,W,90,-250.55,39,,
21/03/2016,Challenger,ShenzhenChallenger,Di Wu,Filip Krajinovic,2.179,2.75,1.262046811,50,W,87.5,-163.05,40,,
21/03/2016,Challenger,SanLuisPotosiChallenger,Federico Gaio,Michael Berrer,2.132,3.8,1.782363978,50,W,140,-23.05,41,,
21/03/2016,Challenger,SanLuisPotosiChallenger,Dennis Novak,Andre Ghem,2.183,3.2,1.465872652,50,L,-50,-73.05,42,,
