child,parent,exchange_id,n_total_fnn,n_measured_fnn,n_class_2or3,p_class_2or3,section_speed_threshold_average,log_p_value,cni_present,n_unique_cni,cni_ids,cni_re_report_counts,cni_toms_initiation_ts,truck_roll_count_3m,truck_roll_count_6m,truck_roll_count_12m,truck_roll_count_24m,nbn_rfs_3m_count,nbn_rfs_6m_count,nbn_rfs_12m_count,nbn_rfs_24m_count,nbn_rfs_more_than_24m_count,nbn_rfs_already_passed_count,ccp_flag
Cable:16136852;16139734,Cable:16137091,PEIN,1,1,1,0.3114943,0.2268833,-1.0130999,0,0,[],[],[],0,0,0,0,0,0,0,0,0,0,b
Cable:16136853,Cable:16137091,PEIN,32,19,2,0.3114943,1.2250934,-0.0123523,0,0,[],[],[],3,8,14,16,9,0,0,0,6,2,b
Cable:16136854,Cable:16136853,PEIN,30,18,2,0.3114943,1.2150842,-0.0164256,0,0,[],[],[],2,7,13,15,9,0,0,0,6,2,b
Cable:16136856,Cable:16136857,PEIN,2,1,0,0.3114943,1.3132147,-0.2790474,0,0,[],[],[],0,0,0,0,2,0,0,0,0,0,b
Cable:16136857,Cable:16136854,PEIN,25,15,2,0.3114943,1.2013923,-0.0379332,0,0,[],[],[],2,4,9,11,7,0,0,0,6,2,b
Cable:16136858,Cable:16136857,PEIN,21,13,2,0.3114943,1.190383,-0.0653204,0,0,[],[],[],2,4,8,10,5,0,0,0,5,2,b
Cable:16136859,Cable:16136858,PEIN,19,11,2,0.3114943,1.1953353,-0.111396,0,0,[],[],[],1,3,7,9,3,0,0,0,5,2,b
Cable:16136860;16137781,Cable:16136861,PEIN,1,1,0,0.3114943,1.3576793,-0.2790474,0,0,[],[],[],0,0,1,1,0,0,0,0,0,0,b
Cable:16136861,Cable:16136859,PEIN,18,10,2,0.3114943,1.1942908,-0.14511,0,0,[],[],[],1,3,7,9,2,0,0,0,5,2,b
Cable:16136862,Cable:16136861,PEIN,17,9,2,0.3114943,1.1761365,-0.1889056,0,0,[],[],[],1,3,6,8,2,0,0,0,5,2,b
Cable:16136863,Cable:16136862,PEIN,16,8,2,0.3114943,1.172431,-0.2460473,0,0,[],[],[],1,3,6,8,1,0,0,0,5,2,b
Cable:16136864;16136880,Cable:16136863,PEIN,14,7,2,0.3114943,1.1505235,-0.3211765,0,0,[],[],[],1,3,6,8,0,0,0,0,5,2,b
Cable:16136866,Cable:16137029,PEIN,7,5,0,0.3114943,1.1994767,-0.0489169,0,0,[],[],[],3,4,6,6,4,0,0,0,0,0,b
Cable:16136867,Cable:16136866,PEIN,6,5,0,0.3114943,1.1994767,-0.0489169,0,0,[],[],[],3,4,5,5,4,0,0,0,0,0,b
Cable:16136868;16136869,Cable:16137065,PEIN,10,6,2,0.3114943,1.0520001,-0.4212047,0,0,[],[],[],0,1,3,3,5,0,0,0,1,0,b
Cable:16136870;16136871,Cable:16137060,PEIN,42,29,4,0.3114943,1.1786267,-0.0098059,0,0,[],[],[],4,9,15,17,16,0,0,0,7,2,b
Cable:16136873,Cable:38085803,PEIN,1,0,0,0.3114943,NULL,0,0,0,[],[],[],0,0,0,0,0,0,0,0,0,0,b
Cable:16136875;16140297,Cable:16136883;16137240;28136273;28136275;38465518,PEIN,1,0,0,0.3114943,NULL,0,0,0,[],[],[],3,3,3,3,0,0,0,0,0,0,b
Cable:16136877;28136272;36767587;36767588,Cable:16136883;16137240;28136273;28136275;38465518,PEIN,4,3,1,0.3114943,0.9796244,-0.4334155,0,0,[],[],[],1,1,4,6,0,0,0,0,2,0,b
Cable:16136878,Cable:16136881,PEIN,1,1,0,0.3114943,1.3136552,-0.2790474,0,0,[],[],[],0,0,0,0,0,0,0,0,0,1,b
Cable:16136881,Cable:16136864;16136880,PEIN,13,6,1,0.3114943,1.2431711,-0.1583979,0,0,[],[],[],1,1,4,6,0,0,0,0,4,2,b
Cable:16136882,Cable:38085803,PEIN,10,5,1,0.3114943,1.2290742,-0.218736,0,0,[],[],[],1,1,4,6,0,0,0,0,4,1,b
Cable:16136883;16137240;28136273;28136275;38465518,Control Joint:CJ103,PEIN,10,5,1,0.3114943,1.2290742,-0.218736,0,0,[],[],[],5,5,8,10,0,0,0,0,4,1,b
Cable:16136884,Cable:16136853,PEIN,1,0,0,0.3114943,NULL,0,0,0,[],[],[],1,1,1,1,0,0,0,0,0,0,b
Cable:16136885,Cable:16137046,PEIN,5,3,1,0.3114943,1.0008355,-0.4334155,0,0,[],[],[],0,0,0,0,3,0,0,0,0,0,b
Cable:16136886,Cable:16136885,PEIN,3,3,1,0.3114943,1.0008355,-0.4334155,0,0,[],[],[],0,0,0,0,3,0,0,0,0,0,b
Cable:16136887;16137255,Cable:16136886,PEIN,2,2,0,0.3114943,1.19241,-0.1715846,0,0,[],[],[],0,0,0,0,2,0,0,0,0,0,b
Cable:16136888;16139767,Cable:16136887;16137255,PEIN,1,1,0,0.3114943,1.1573801,-0.2790474,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16136889,Pillar:P2,PEIN,17,14,4,0.3114943,1.1705825,-0.2808951,0,0,[],[],[],0,1,1,2,5,0,0,0,0,0,b
